X,Y
129,88
110,61
23,76
158,28
105,9
155,88
86,16
154,46
8,1
121,70
69,42
152,53
177,18
10,70
80,15
84,16
112,29
155,74
66,28
137,77
51,40
10,25
33,86
166,53
39,50
48,83
121,31
35,47
46,57
48,82
49,12
53,41
3,1
21,31
169,30
95,84
58,51
29,54
6,87
62,35
125,15
29,71
167,34
3,0
98,5
57,19
135,11
23,14
171,22
51,24
111,11
7,83
100,72
71,27
117,38
29,11
51,88
2,26
120,25
165,68
35,32
162,52
51,70
44,30
114,67
91,62
25,7
33,61
57,0
110,35
141,3
116,19
76,6
95,75
108,74
172,45
165,87
17,35
158,74
173,11
110,7
131,83
149,35
37,83
28,79
159,74
52,18
19,67
27,20
0,23
4,73
97,38
62,27
156,7
69,26
79,26
89,73
84,41
178,46
173,63
177,60
119,23
49,85
12,47
35,15
68,23
56,43
49,6
160,58
26,67
172,29
132,41
156,24
175,77
17,28
78,27
39,70
100,62
30,5
118,77
26,42
44,89
76,66
61,50
19,82
68,74
27,4
156,2
86,30
28,30
112,15
136,47
47,76
115,45
36,6
153,29
111,84
114,43
105,67
170,10
179,13
140,16
44,53
28,82
98,13
17,78
35,34
74,24
109,23
31,29
95,87
81,57
6,10
147,40
171,84
88,77
118,43
40,63
177,59
169,88
60,27
98,77
133,3
177,19
118,37
158,87
52,31
106,19
20,3
16,35
82,27
77,40
13,87
134,37
127,21
165,35
162,66
101,4
145,30
144,61
120,31
123,60
98,49
91,88
14,56
131,65
139,11
16,84
140,70
4,58
162,45
122,44
75,20
135,63
171,4
37,81
71,46
24,51
132,83
38,40
16,80
146,2
140,50
158,53
24,49
159,77
152,1
13,4
169,44
161,63
133,59
0,39
129,21
63,80
1,60
136,80
136,1
133,15
132,9
133,53
94,37
124,38
177,56
122,28
175,12
70,24
138,65
52,15
116,26
39,88
157,55
105,83
157,6
85,73
72,46
49,30
89,57
28,19
160,54
117,20
118,32
153,54
91,41
172,38
33,40
172,51
110,13
165,32
134,71
113,9
29,67
73,86
133,37
20,55
80,73
117,75
113,34
93,70
7,70
117,69
3,61
12,22
61,69
53,67
73,75
65,49
4,49
71,1
177,69
164,18
152,89
120,85
91,83
25,58
66,65
125,30
36,24
44,24
131,38
95,81
59,51
146,60
13,73
23,73
28,86
73,8
101,53
24,60
118,84
62,89
43,47
28,17
38,13
113,49
69,43
74,83
35,49
83,75
152,73
91,32
127,84
83,13
162,61
147,50
12,53
138,31
92,3
76,67
126,70
48,59
54,72
138,21
102,4
82,61
99,6
82,62
175,51
65,73
59,46
18,10
156,89
122,58
72,73
66,24
171,81
166,43
65,66
78,66
60,76
160,77
63,85
149,63
154,20
35,81
163,57
40,74
67,60
39,2
88,35
42,31
177,35
108,40
54,69
67,51
154,57
102,19
148,20
128,36
72,20
121,66
23,43
77,3
133,81
154,78
140,39
1,30
142,21
61,64
124,73
123,2
102,0
163,55
58,35
37,33
53,26
7,42
85,3
154,10
79,23
50,28
146,19
175,31
53,46
124,81
51,14
76,44
79,80
40,42
101,32
9,72
145,28
23,77
177,68
83,43
6,52
18,61
35,2
78,57
143,6
14,30
177,55
16,62
24,15
116,67
103,42
17,69
13,41
160,75
119,70
66,88
62,25
160,38
24,59
87,70
11,27
3,39
137,88
102,79
5,53
120,17
81,68
19,81
96,87
77,50
137,8
8,79
169,18
116,52
71,36
173,27
4,36
136,72
41,9
71,62
154,4
127,82
159,52
63,39
2,46
165,36
137,2
75,62
39,41
76,9
108,57
126,40
2,79
167,36
92,83
160,47
147,11
82,52
101,56
170,86
107,84
179,18
170,40
57,53
106,40
106,36
124,76
49,54
171,12
112,47
125,7
49,89
109,38
139,55
106,50
49,79
161,65
31,84
47,0
159,35
33,71
74,10
105,28
95,86
141,40
88,52
81,49
78,74
26,57
144,23
9,2
134,73
111,55
30,65
0,42
75,37
146,66
143,21
165,69
168,45
26,34
140,59
22,13
23,57
10,79
117,46
87,53
153,40
66,78
40,22
110,68
126,17
143,25
167,9
71,35
159,4
59,41
152,44
38,20
2,31
22,46
126,44
33,49
33,53
93,44
170,37
124,84
152,22
86,35
152,67
161,6
133,4
3,29
32,51
27,83
164,10
22,18
14,16
56,24
69,48
108,72
96,58
28,24
95,2
87,61
9,61
51,30
105,23
18,27
67,30
146,47
35,16
150,85
32,25
142,70
115,30
18,49
155,84
115,1
40,38
173,8
120,74
26,50
21,66
5,3
148,40
67,8
139,38
157,13
22,28
122,42
176,78
98,54
84,60
55,38
161,46
68,72
68,52
88,82
67,70
92,27
62,43
43,84
153,16
54,76
2,60
145,1
120,89
95,55
118,41
64,85
73,46
51,73
88,67
79,76
91,58
32,35
132,28
67,69
167,20
107,56
93,42
96,49
66,47
40,53
24,7
0,87
105,12
100,75
108,18
38,80
45,73
8,10
56,76
93,82
64,84
153,28
99,75
87,13
140,3
141,84
22,0
96,40
133,48
49,33
139,72
67,63
97,13
158,50
126,58
93,49
49,77
165,70
165,0
72,52
65,2
139,36
79,28
67,37
83,60
178,13
127,62
2,27
94,6
18,89
172,35
27,24
27,56
99,77
27,67
133,40
65,81
59,31
17,36
21,89
63,19
162,62
97,47
85,62
136,35
2,88
4,70
168,83
157,68
132,3
41,12
91,78
102,73
1,34
169,67
80,54
170,14
134,18
132,21
101,9
78,29
6,54
60,69
143,61
43,22
124,64
128,32
56,57
114,77
80,74
110,42
96,8
6,58
75,82
136,68
163,17
112,31
93,13
93,21
176,80
79,66
126,65
38,3
133,47
89,79
1,56
44,67
119,34
165,22
125,59
176,82
123,88
79,35
7,37
68,33
9,44
32,15
100,46
37,88
22,20
105,76
162,51
150,0
68,71
165,77
74,19
54,74
140,89
57,12
56,18
35,29
52,76
81,61
124,85
162,88
110,67
87,69
177,23
149,20
14,31
162,3
98,72
141,85
37,29
167,22
21,47
54,63
161,30
106,0
132,85
146,25
152,78
82,63
18,2
174,62
3,43
49,58
118,15
124,22
162,84
96,57
113,87
83,5
34,71
112,61
91,20
68,56
88,68
10,17
156,25
146,55
132,11
104,86
122,89
138,86
124,32
145,26
135,89
175,24
46,85
33,82
140,35
117,32
30,88
152,15
126,59
125,57
8,34
20,69
105,72
72,82
53,59
131,40
71,41
132,50
43,12
141,48
124,12
103,33
70,57
167,74
121,86
41,50
153,19
50,17
176,20
46,68
47,80
10,12
38,75
44,4
49,7
142,14
73,43
92,17
148,27
49,21
5,31
0,69
142,40
116,82
109,34
104,1
161,74
124,65
138,35
111,57
19,73
89,88
142,41
135,84
3,60
11,47
134,59
53,7
113,31
22,64
5,41
8,77
148,18
78,5
47,6
79,3
15,82
168,85
33,58
36,68
115,63
129,36
29,43
110,28
79,65
25,59
70,70
33,37
4,18
88,74
144,41
0,53
50,34
106,88
107,16
88,13
43,1
11,88
68,35
69,59
58,34
99,0
151,35
16,55
77,14
12,58
146,4
107,79
157,1
17,80
93,87
36,88
118,42
159,2
154,73
92,41
54,70
129,64
162,6
162,43
49,78
73,42
179,82
28,65
131,53
130,43
151,20
38,0
71,49
142,64
7,72
172,19
53,16
31,24
149,48
93,28
45,51
149,87
123,19
53,58
6,79
125,71
31,71
118,18
61,39
61,19
33,19
57,13
66,52
156,74
145,24
18,80
174,60
163,0
62,84
97,77
145,35
150,74
30,17
166,51
93,84
114,59
2,12
151,85
58,29
24,4
54,1
132,89
116,80
109,78
117,6
72,47
81,17
33,33
169,60
21,33
7,4
4,63
137,31
113,44
63,64
117,42
91,19
61,14
85,39
41,80
117,43
52,4
63,40
18,20
118,79
37,50
57,8
26,69
75,13
44,28
64,39
13,22
129,85
107,1
27,2
147,62
109,25
170,64
148,15
25,27
177,51
105,46
48,68
42,58
169,22
108,86
98,67
34,18
83,32
91,45
69,75
136,65
169,65
33,17
20,25
108,47
123,68
25,29
37,42
14,47
74,78
24,14
14,85
175,54
164,38
64,51
53,48
125,4
92,32
34,15
70,78
6,31
73,50
154,67
39,5
