X,Y,Theta
63,69,2.09441
39,86,-2.09439
21,85,3.14159
8,48,1.04721
6,43,3.14159
25,27,9.81064e-06
57,50,-1.04719
40,54,1.04721
108,31,-2.09439
40,69,2.09441
171,54,9.81064e-06
111,65,-3.14159
142,36,9.81064e-06
111,32,1.04721
100,24,9.81064e-06
74,74,3.14159
7,89,9.81064e-06
50,70,3.14159
152,18,-1.04719
7,30,2.09441
48,84,3.14159
149,74,-1.04719
149,74,1.04721
53,2,3.14159
55,24,-2.09439
89,62,9.81064e-06
145,47,9.81064e-06
106,33,3.14159
67,55,-1.04719
91,31,-3.14159
45,66,-2.09439
152,32,2.09441
24,33,9.81064e-06
2,77,9.81064e-06
171,88,1.04721
52,71,1.04721
14,66,-2.09439
97,50,-3.14159
174,83,-3.14159
142,40,2.09441
57,56,3.14159
30,67,1.04721
42,0,2.09441
102,52,9.81064e-06
19,26,2.09441
93,45,2.09441
54,53,2.09441
136,23,3.14159
175,84,-2.09439
119,8,-3.14159
12,67,-2.09439
56,89,9.81064e-06
51,21,9.81064e-06
11,45,9.81064e-06
150,80,1.04721
37,46,2.09441
81,52,3.14159
161,47,-1.04719
50,66,9.81064e-06
165,40,3.14159
7,28,3.14159
146,19,2.09441
111,87,3.14159
14,65,-1.04719
92,74,3.14159
73,7,2.09441
129,20,3.14159
11,47,3.14159
16,89,-3.14159
27,72,1.04721
20,78,-2.09439
6,14,9.81064e-06
10,33,2.09441
165,47,9.81064e-06
175,37,3.14159
167,51,-2.09439
177,40,3.14159
71,10,9.81064e-06
100,29,-3.14159
148,79,-1.04719
95,39,1.04721
92,65,-1.04719
139,2,-2.09439
90,74,-2.09439
99,60,-1.04719
145,82,-1.04719
110,69,2.09441
119,47,-1.04719
60,39,2.09441
82,11,-1.04719
37,53,1.04721
38,59,-2.09439
132,49,-2.09439
67,82,-3.14159
21,19,9.81064e-06
53,71,2.09441
139,59,1.04721
65,61,2.09441
33,72,-1.04719
73,3,-3.14159
70,75,2.09441
135,61,-2.09439
161,84,-3.14159
165,21,3.14159
12,70,-1.04719
29,33,-1.04719
25,20,-3.14159
63,38,-2.09439
109,67,9.81064e-06
88,50,-1.04719
7,58,-2.09439
89,75,1.04721
0,13,-1.04719
15,67,1.04721
111,42,9.81064e-06
102,12,-1.04719
72,24,-1.04719
42,87,-1.04719
179,9,3.14159
70,85,-3.14159
77,23,3.14159
126,82,-2.09439
103,19,-3.14159
121,19,-2.09439
131,42,-1.04719
172,54,-2.09439
45,46,1.04721
152,79,-3.14159
36,49,1.04721
113,53,1.04721
151,3,-3.14159
3,86,-3.14159
169,5,9.81064e-06
155,19,-1.04719
106,40,3.14159
104,22,-2.09439
72,64,-3.14159
179,35,1.04721
144,47,-1.04719
118,77,3.14159
109,10,2.09441
150,54,-2.09439
100,1,1.04721
25,26,1.04721
149,22,-3.14159
115,63,2.09441
38,72,-2.09439
166,85,-3.14159
19,75,3.14159
92,53,2.09441
137,41,9.81064e-06
132,29,-2.09439
132,81,-1.04719
114,60,-3.14159
32,9,9.81064e-06
126,75,-1.04719
63,35,-2.09439
149,15,-1.04719
72,8,-3.14159
4,49,9.81064e-06
1,23,1.04721
77,15,-1.04719
61,56,1.04721
6,88,9.81064e-06
9,73,9.81064e-06
98,67,-1.04719
69,29,-3.14159
156,10,3.14159
13,32,-3.14159
147,3,-2.09439
85,80,1.04721
102,33,2.09441
135,35,2.09441
87,25,-3.14159
101,40,-1.04719
176,57,1.04721
103,59,-3.14159
144,71,1.04721
128,1,1.04721
95,18,9.81064e-06
172,54,2.09441
135,11,-3.14159
152,62,-1.04719
145,82,1.04721
57,5,-3.14159
28,22,-3.14159
20,31,9.81064e-06
140,33,3.14159
81,58,1.04721
117,74,9.81064e-06
1,62,-1.04719
71,6,3.14159
166,69,3.14159
37,66,3.14159
42,7,1.04721
96,7,2.09441
111,72,-3.14159
34,30,-3.14159
97,11,9.81064e-06
149,32,9.81064e-06
66,56,-2.09439
170,23,-1.04719
126,62,-2.09439
159,44,3.14159
156,62,2.09441
82,3,3.14159
163,39,9.81064e-06
40,61,9.81064e-06
58,10,3.14159
45,23,-3.14159
171,47,2.09441
140,61,-2.09439
34,26,1.04721
88,32,1.04721
133,9,-2.09439
103,24,3.14159
4,2,-2.09439
135,63,-2.09439
127,47,-2.09439
109,38,9.81064e-06
55,56,9.81064e-06
33,23,-1.04719
34,75,-1.04719
71,50,1.04721
138,61,2.09441
20,77,3.14159
11,73,-1.04719
74,35,-3.14159
85,37,-2.09439
164,14,1.04721
123,27,3.14159
142,67,-2.09439
15,12,3.14159
53,38,2.09441
61,59,-1.04719
117,67,3.14159
71,54,-3.14159
157,31,2.09441
158,58,-1.04719
25,1,1.04721
91,51,3.14159
53,69,-1.04719
50,30,9.81064e-06
149,45,2.09441
102,51,3.14159
62,68,9.81064e-06
25,31,9.81064e-06
92,31,9.81064e-06
173,40,-3.14159
95,64,1.04721
11,89,-2.09439
148,53,-2.09439
69,87,1.04721
42,12,-3.14159
123,33,-1.04719
36,15,9.81064e-06
57,29,3.14159
70,49,-1.04719
127,50,3.14159
100,20,3.14159
69,40,2.09441
27,14,9.81064e-06
0,33,1.04721
13,71,3.14159
102,79,1.04721
110,71,-2.09439
126,6,-3.14159
126,41,-1.04719
11,33,2.09441
153,19,2.09441
136,21,-2.09439
114,62,-1.04719
54,61,-2.09439
90,66,2.09441
114,22,9.81064e-06
93,0,3.14159
25,80,1.04721
84,22,-3.14159
48,44,-1.04719
67,32,3.14159
67,75,-2.09439
69,67,1.04721
173,45,-1.04719
112,30,9.81064e-06
152,7,9.81064e-06
20,73,-3.14159
11,68,-1.04719
29,29,2.09441
37,14,-1.04719
65,42,3.14159
60,66,2.09441
171,66,3.14159
178,36,-3.14159
40,4,-2.09439
82,9,2.09441
73,5,1.04721
15,60,1.04721
58,27,1.04721
7,13,-1.04719
31,13,-1.04719
57,17,1.04721
84,70,3.14159
76,39,3.14159
65,56,-2.09439
42,42,2.09441
14,8,2.09441
122,5,2.09441
29,59,3.14159
63,64,9.81064e-06
88,29,2.09441
43,89,-3.14159
171,11,-1.04719
73,33,-1.04719
175,39,-3.14159
171,58,3.14159
42,39,9.81064e-06
99,11,1.04721
19,59,-1.04719
104,14,2.09441
106,55,-2.09439
38,60,1.04721
175,73,3.14159
146,13,9.81064e-06
70,6,-3.14159
39,59,1.04721
122,45,9.81064e-06
102,9,-2.09439
41,49,2.09441
89,54,1.04721
134,47,-3.14159
179,44,9.81064e-06
62,18,1.04721
43,59,-1.04719
33,0,9.81064e-06
53,52,-3.14159
7,66,-2.09439
41,19,-1.04719
23,47,2.09441
58,44,9.81064e-06
93,44,3.14159
44,44,3.14159
108,65,1.04721
124,17,9.81064e-06
87,42,1.04721
87,88,3.14159
156,44,3.14159
25,87,9.81064e-06
156,57,-3.14159
128,16,3.14159
40,57,1.04721
100,67,9.81064e-06
137,14,2.09441
151,76,9.81064e-06
26,58,1.04721
0,81,2.09441
106,70,1.04721
134,78,2.09441
1,7,2.09441
6,42,-2.09439
94,87,2.09441
30,3,-3.14159
146,60,9.81064e-06
120,12,-1.04719
179,23,-3.14159
136,40,2.09441
144,62,9.81064e-06
9,64,-3.14159
40,88,-1.04719
72,1,-2.09439
156,77,-1.04719
55,70,-1.04719
73,37,2.09441
21,74,-1.04719
94,87,-2.09439
62,26,1.04721
33,17,-2.09439
131,38,-3.14159
175,54,1.04721
132,62,2.09441
165,33,-3.14159
70,9,-2.09439
13,51,9.81064e-06
93,83,-3.14159
52,6,-2.09439
111,71,-2.09439
40,58,-1.04719
176,69,-2.09439
116,12,-2.09439
33,33,-2.09439
45,54,1.04721
77,48,-2.09439
142,60,2.09441
156,77,3.14159
172,57,-3.14159
164,27,-3.14159
165,56,3.14159
165,50,-3.14159
64,36,2.09441
160,59,-1.04719
38,68,-3.14159
60,80,9.81064e-06
53,53,9.81064e-06
102,85,-1.04719
176,30,-2.09439
157,86,-2.09439
88,39,2.09441
76,25,-3.14159
156,6,9.81064e-06
160,50,1.04721
